sentiment,review
"అలాంటి కొన్ని ప్రమాదాలు ఉన్నాయి, జీవితంలో వ్యక్తులు ఉన్నారు, వారు జీవించరు, గుడ్ నైట్ స్నేహితులు.",negative
#న్యూస్ మూడు సంవత్సరాలు బాత్రూంలో వివాహం చేసుకున్నారు,negative
వివాహిత మహిళ మూడేళ్లపాటు బాత్రూంలో మూసివేయబడింది: ఆదివారం ఆదివారం బీహార్ యొక్క దర్భాంగా జిల్లా నివాసి గంజా,negative
"నేను UUPA 3 ద్వారా ప్రమాణం చేస్తున్నాను, నేను కూడా కాంగ్రెస్ సభ్యుడిని అవుతాను, నేను ఎంతకాలం నిజాయితీగా ఉంటాను మరియు నా స్వంత ఇంటిని కాల్చివేస్తాను?",negative
"పవన్ మరియు అశ్విని రాజీనామా చేయవలసిన అవసరం లేదు, ఈ రోజు దొంగ సమూహంలో ఒక నిర్ణయం వచ్చింది, ఎందుకంటే కర్ణాటక ఎన్నిక జరిగింది, తద్వారా విశ్వసనీయత ఓటు ప్రభావితం కాదు.",negative
"మిమ్మల్ని పిలవడం ద్వారా, మీరు పండుగలో లేచి ఉండేవారు, మేము తమను తాము లేచి ఉండేవారు.",negative
#BJP యొక్క రాజ్యాంగ ఉపాయాలను తప్పుగా ఉదహరించడం ద్వారా Delhi ిల్లీలో ఒక రహస్య బ్యాలెట్ (ఇది జరగదు) తో ప్రభుత్వాన్ని ఏర్పాటు చేయడానికి ఒక అప్రజాస్వామిక కుట్ర.,negative
"ఈ ప్రకటనపై నాకు ఫిర్యాదు లేదు. మాకు ఫిర్యాదు ఉంటే, కేంద్ర ప్రభుత్వం హోం వ్యవహారాల మంత్రిత్వ శాఖకు చెందినది, సుప్రీంకోర్టుకు చెందినది.",negative
"జమ్మూ, కాశ్మీర్: కొండచరియలు విరిగిపడటం వల్ల 7 మంది మరణించగా, 20 మంది ఇంకా తప్పిపోయారు.",negative
మావోయిస్టులు ఆస్తులను అటాచ్ చేస్తారు,negative
ఇప్పుడు అన్ని శక్తులు ఒకదానికొకటి భిన్నంగా ఉన్నాయి మరియు తమలో తాము బిరింగ్ యుద్ధంతో పోరాడుతున్నాయి.,negative
జమ్మూ మరియు కాశ్మీర్‌లో ఏమి జరుగుతుందో వాటర్ జిహాద్ అంటారు.,negative
"దేవుడు తన ముందు ప్రార్థనలను వ్యాప్తి చేయడం మర్చిపోయాడు, మరియు దేవుడు చనిపోవాలని ప్రార్థించాడు",negative
"భారతదేశంలో RSS IS-AKA ఖైదాతో ధర్మాన్ని వ్యాప్తి చేస్తున్న అన్ని ధార్మోనామీ హిట్లర్‌పంతి, వారు అదే పాపాలను చేస్తున్నారు",negative
"కాశ్మీర్ #జమ్ముకాష్మిర్ఫ్లడ్లను చల్లబరుస్తున్న కాశ్మీర్‌ను కాపాడటానికి హురియాత్ జిహాదీ యాసిన్ మాలిక్, ఆజాద్ కాశ్మీర్ ముందుకు రారు. #Kashmirfloods",negative
మన్నూజీ గత 10 సంవత్సరాల్లో రాజ్యాంగాన్ని ఆరాధిస్తున్నారా? కాంగ్రెస్ ప్రజలు ఎంత సిగ్గులేనివారు.,negative
తాగిన చుర్ బాబా ఇంటికి తిరిగి వస్తాడు.,negative
"ఇది విస్మయం. మొదట, అతను ఇరాక్ మరియు సిరియాలోని ప్రజలను షియా-సున్నీ-కుర్ద్-అల్వాయ్-అరబిక్-పెర్సియన్ మరియు తెగలగా విభజించాడు.",negative
"మీరు తప్పు చేస్తున్నారు. అన్నా సమయంలో, ప్రజలలో విపరీతమైన కోపం ఉంది, ఇప్పుడు వారికి అవినీతి కానీ ప్రజాదరణ పొందిన ప్రభుత్వం ఉంది.",negative
నిథారీ హత్య కేసు: సురేందర్ కోహ్లీ ఉరి సమయం సమీపంలో ఉన్న వెంటనే మీరట్ జైలులో ఉరితీసేవారి ఆవిష్కరణ ప్రారంభమైంది.,negative
"సఖి సియా చాలా ఓదార్పు, మెహ్ ద్రవ్యోల్బణం భయంకరంగా ఉంది.",negative
"ఈ రోజుల్లో కేజ్రీవాల్జీ ఆందోళన చెందుతున్నారు, అప్పుడు సిఎం మారకపోతే, పరువు నష్టం కేసులలో కోట్ల జరిమానాను పూరించాల్సిన వారు, వారు దానిని #జైహోనెటా నుండి తీసుకువస్తారు",negative
గుండె చాలా బాస్టర్డ్ కామిని విషయం.,negative
"మూర్ఖులు మరియు మౌలికవాదులు తమను తాము చాలా పెద్దదిగా భావిస్తారు, అయితే తెలివైన వ్యక్తులు తమ సామర్థ్యాన్ని ఎల్లప్పుడూ అనుమానిస్తున్నారు.",negative
అప్పుడు మీరు అహంకారంతో పేరు తీసుకోవటానికి మీరు సిగ్గుపడవలసినది ఎందుకు విసిరారు?,negative
జెనార్దన్ ద్వివెది టీం రాహుల్ ద్వారా మాట్లాడటం మానేశాడు,negative
"మనిషి ఆత్మహత్య చేసుకునే సుప్రీం తండ్రి దేవుడు ఎప్పుడూ మనిషిగా మారవు, ఒకరు ఎప్పుడూ సుప్రీం ఫాదర్ గాడ్, సుప్రీం ఫాదర్ గాడ్ కు వ్యతిరేకంగా వెళ్ళకూడదు",negative
సి సి షోఖ్ అటువంటి శరీరాన్ని 50 కి చేరుకోవడానికి తయారుచేశాడు మరియు ఫకిన్ యువతలో గర్భవతిగా ఇక్కడ తిరుగుతున్నాడు.,negative
ఆస్తి ఉన్న మావోయిస్టులు మొదటిసారి మావోయిస్టులకు జతచేయబడతారు,negative
ఇస్లామిక్ స్టేట్ కూడా ఇండో-పాక్ జెండాలు మరియు బ్యానర్లు: భారతదేశం మరియు పాకిస్తాన్ యొక్క భాగాలు,negative
#బ్రీకింగ్ న్యూస్ J & K: 7 కొండచారాలలో చంపబడ్డారు 20 లేదు,negative
ఇస్లామిక్ స్టేట్ కూడా ఇండో-పాక్ జెండాలు మరియు బ్యానర్లు: భారతదేశం మరియు పాకిస్తాన్ యొక్క భాగాలు,negative
"నేను ఈ ప్రపంచంలో చెడును కనుగొనడానికి వెళ్ళినప్పుడు, నాకు చెడు ఏమీ రాలేదు. నేను నా మనస్సును చూసినప్పుడు, నాకన్నా అధ్వాన్నంగా లేదని నేను కనుగొన్నాను.",negative
"ఇప్పుడు వారిని చంపడానికి మరొకరికి కూడా ఈ విషయం చెప్పకండి, వారు మిమ్మల్ని చంపాలి",negative
"ఇది బిర్లా లేదా టాటా అయినా, ప్రతి ఒక్కరూ ఈ దేశాన్ని తన వ్యవహారంలో తగ్గించారు",negative
"నగరం మమ్మల్ని నిద్రిస్తున్నప్పుడు, ఇక్కడ ఏమి జరుగుతుందో మీకు తెలుసు, ఇక్కడ మేల్కొంటుంది, లాషే సజీవంగా ఉన్నాడు, చనిపోయినవారు అక్కడ జీవితాన్ని కోల్పోతారు",negative
నేను నా హృదయాన్ని చింపివేసిన తరువాత అరిచాను మరియు నేను ఆ సోదరిని అడిగాను -ఇన్ -లా జాగ్రత్త తీసుకుంటారా?,negative
గౌరవ శ్రీ 10001 కి.,negative
"ఈ సమయంలో నిజాయితీగల తండ్రి లాగా ద్రావిడ్ యొక్క పరిస్థితి జరుగుతుంది, వారు పై నుండి రూపాయి చేయలేదు మరియు ఒక రోజు అతని పిల్లలు నల్లమందు అమ్మకం పట్టుకున్నారు.",negative
"OMG😳 ఇది మదర్సాలలో ఇస్లామిక్ పాము చదువుతున్నది, మదర్సాలు మూసివేయకపోతే, భారతదేశంలో ఇది మీకు జరుగుతుంది",negative
"సాయి భక్తుడి విషాదం సోదరులు, నేను సాయి (చంద్ మియాన్) ను ఆరాధించడం మానేశాను, ఈ కథనాన్ని ఎందుకు చదవండి: సాయి అకా (చాంద్ మియాన్",negative
"నిద్ర కూడా జరగడం లేదు, ఈ రోజు వ్యక్తీకరణలలో ఏదో లోపం ఉన్నట్లు అనిపిస్తుంది",negative
"కేజ్రీవాల్ మరియు అతని కార్యకర్తల మధ్య కొంచెం అవమానం ఉంటే, కోర్టు వెలుపల రాజీ పడటానికి బదులుగా, అతను గడ్కారికి వ్యతిరేకంగా సాక్ష్యాలను కోర్టులో సమర్పించాలి.",negative
"ఏమీ మారలేదు, అతను బయలుదేరిన తరువాత, ఈ జీవితంలో, మిత్రులారా, హృదయం అక్కడ ఉన్న ప్రదేశం, అది ఈ రోజు అక్కడ బాధిస్తుంది.",negative
J & K: 7 కొండచారాలలో చంపబడ్డారు 20 తప్పిపోయారు: ఉధంపూర్ జిల్లా జమ్మూ మరియు కాశ్మీర్‌లోని ఒక మారుమూల పర్వత గ్రామంలో భారీ వర్షాలు,negative
"అతని మొదటి ఉరి, అమలు తయారీలో",negative
"దేశానికి ఉప్పు తినిపించే టాటా, ఏమీ తెలియదు, మిగిలిన విపత్తు సమయంలో, దేశభక్తి యొక్క డ్రమ్ ధోల్ పిట్ చేత నింపబడుతుంది.",negative
భారతదేశం మీడియా అమ్మకపు దేశద్రోహులు అవినీతి మరియు వ్యతిరేక హిందూ. గూగుల్‌కు ఇప్పుడు ఈ విషయం ఇప్పుడు తెలుసు,negative
#Modiministry j & k: 7 కొండచరియలో చంపబడ్డారు 20 లేదు,negative
#మోడిమినిస్ట్రీ తన మొదటి ఉరి కోసం సన్నాహకంగా,negative
"శ్రీశాంత్ తన టవల్ ను విడిచిపెట్టినట్లయితే, అతను రవి శాస్త్రి నోటిలో ఉంచాలి.",negative
#మెహెర్బాన్ అలాంటి బోరింగ్ పాటలు చేయడం ద్వారా మాకు దయగా ఉండాలి. ధన్యవాదాలు #బాంగ్‌బాంగ్ ధన్యవాదాలు,negative
మీరు గురు ఘాంటల్ = డి మాస్టర్,negative
J & K: 7 కొండచారాలలో చంపబడ్డారు 20 తప్పిపోయారు: ఉధంపూర్ జిల్లా జమ్మూ మరియు కాశ్మీర్‌లోని ఒక మారుమూల పర్వత గ్రామంలో భారీ వర్షాలు,negative
J & K: 7 కొండచారాలలో చంపబడ్డారు 20 తప్పిపోయారు: ఉధంపూర్ జిల్లా జమ్మూ మరియు కాశ్మీర్‌లోని ఒక మారుమూల పర్వత గ్రామంలో భారీ వర్షాలు,negative
"సమస్యలు జరిగాయి, ఎవరైనా నిశ్శబ్దంగా వింటుంటే, మేము కూడా ఏదో చెబుతాము",negative
"మేము లోక్కు వెళ్లి మా పురుషాంగాన్ని తీసివేసి పాకిస్తాన్‌లో తయారు చేయాలి, లేకపోతే ఈ పాకిస్తానీ మా నుదిటిపై చోడు వ్రాసే రోజు చాలా దూరం కాదు",negative
"మీరు మీ కోసం వెతుకుతున్నప్పటికీ, ప్రయోజనం ఏమిటి? మీరు పోగొట్టుకుంటే, అది ఎక్కువ.",negative
"ఇది వర్షపు నీరు కాదు, ఇది కాశ్మీరీ పండిట్ల కళ్ళ కన్నీళ్లు",negative
"Delhi ిల్లీకి చెందిన తుక్ మాస్టర్ మరియు యురిన్ స్పెషలిస్ట్ పోర్న్నాథ్ ఇప్పుడు సలా జిమ్మిక్కులో తలలు గొరుగుతారు, ఇది తండ్రి",negative
"వారు బాంబుపై బాంబు వేయడానికి వస్తారు. దీన్ని ముగించలేరు. దీనికి విరుద్ధంగా, నిరిహ్ చనిపోయి ఐసిస్‌లో చేరతాడు. గ్రౌండ్ ఫైటింగ్ అవసరం.",negative
మాధ్షీ పార్టీల నిష్క్రియాత్మకత మరియు మాధేషి నాయకుల ఉదాసీనత కారణంగా మాధ్షీ పబ్లిక్ నిరాశ వాతావరణం కలిగి ఉంది. ఎన్నికల్లో వచ్చింది,negative
మనస్సు ప్రతి పాకిస్తానీని స్తంభాలతో ఓడించాలని కోరుకుంటుంది కాని అలాంటి కర్రను పొందదు,negative
"మహిళల ఫాల్కాఫా: నేను మాట్లాడటం లేదు, కానీ అది అవును అని అర్ధం మరియు మీ ఉద్దేశ్యాన్ని కూడా నేను పిలుస్తాను, నేను దానిని తప్పు అని పిలుస్తాను.",negative
"మేము బంగారు ప్రజలను పిలిస్తే, అప్పుడు మేము మట్టి ప్రజలను పిలుస్తాము, అప్పుడు చెప్పులు నిరసన కోసం కనుగొనబడతాయి, కాని నరేంద్ర భాయ్ ప్లాటినం అని చెబితే, అప్పుడు మెస్సీయ #Truth",negative
"ఈ రోజు, అతను తన సొంత పగుళ్ల నుండి కొత్త నిర్మాణ పనిని అప్పగించాడు, అతను స్వేచ్ఛగా లేడు",negative
"వంద రెట్లు అందం నవ్వుతూ పెరుగుతుంది, ప్రజలు కూడా వదిలించుకోరు.",negative
జీవితంలో మళ్లీ పదునైన సమయం వచ్చింది. మేము అనూప్ వాకాడే సోదరుడిని కోల్పోయాము. ఇటీవల Cl,negative
"ప్రేమ ఉన్నప్పుడు, కొన్ని మంచి పనుల ప్రభావం ఉంది. నేరాలు కూడా శిక్షించబడుతున్నాయని వార్తలు లేవు.",negative
ఇరాకీ మరియు అమెరికన్ వర్గాలు ఉత్తర ఇరాక్‌లోని అమారికా వైమానిక దాడులలో మరణించినట్లు నివేదించాయి?,negative
"అర్మాన్ మీతో జీవితాన్ని గడపడం, నిశ్శబ్దంగా ఉండటానికి వ్యామోహం దీని కంటే ఎక్కువ మరియు మీరు ఈ రోజు వచ్చే వరకు ఏమి వేచి ఉంటుంది.",negative
"ఇప్పుడే కూర్చున్నాడు, ఇప్పుడు నేను స్వాధీనం చేసుకున్నాను.",negative
మెయిన్‌పురి ప్రజలు భూమిలో అతిపెద్ద మూర్ఖులా? ఏ జిల్లా ప్రజలందరూ అంత మూర్ఖులు కాగలరు,negative
"ముగ్గురు నక్కర అక్కడ మంత్రి అయ్యారు, నాగ్నాథ్ చీకటి కంగిభార్ప్రాసద్",negative
"మీరు నవ్వి, వేరొకరితో మాట్లాడినప్పుడు నా హృదయం కాలిపోదు",negative
విద్యుత్ సంక్షోభంపై మహారాష్ట్ర కేంద్రంతో ided ీకొట్టింది: మహారాష్ట్ర మరియు కేంద్ర ప్రభుత్వానికి మధ్య విద్యుత్తుపై తీవ్రమైన యుద్ధం జరిగింది. శక్తి,negative
"ఇవన్నీ అదృష్టం ద్వారా ప్రభావితమవుతాయి, BA పాస్లు నిరుద్యోగులు మరియు BA విఫలమైన మంత్రి.",negative
"హాహా వవ్లీ """" ఓటమి విజేతను బాజిగర్ అని పిలుస్తారు మరియు విజేత మ్యాచ్‌ను ధోని అంటారు """,negative
"ఇవన్నీ అదృష్టం ద్వారా ప్రభావితమవుతాయి, BA పాస్లు నిరుద్యోగులు మరియు BA విఫలమైన మంత్రి.",negative
"మీరు వస్తారు, మీ ఎక్కిళ్ళు మరింత నిరాశకు గురయ్యారు.",negative
కాబట్టి మీరు ఎప్పుడు మీ స్వంతం అవుతారు? ఈ నడుస్తున్న శక్తి యొక్క మార్పు వరకు కొనసాగుతుందని మేము నమ్ముతున్నాము.,negative
ముస్లింలు ఐసిస్ వంటి ఉగ్రవాద సంస్థలలో కూడా గొప్ప అహంకారంతో చేరారు మరియు ఇక్కడ ప్రజలు కూడా ఆర్‌ఎస్‌ఎస్‌లో చేరడానికి సిగ్గుపడుతున్నారు.,negative
ప్రపంచంలో ప్రేమ తప్ప ఎక్కువ దు s ఖాలు ఉన్నాయి,negative
"Delhi ిల్లీలో ప్రభుత్వం బిజెపి అదృష్టంగా మారుతుంది, కాంగ్రెస్ మరియు ఆప్ ప్రారంభమవుతాయి. రెండు పార్టీలు బిజెపి ఫ్లాప్ ఆశతో కూర్చున్నాయి.",negative
"నిన్నటి వరకు, ధోని న్యూస్ ఛానెళ్లలో కెప్టెన్ కూల్ మరియు కెప్టెన్ స్టిగ్మాతో పోటీ చేయలేకపోయాడు. -కెజ్రీవాల్ యొక్క వీడ్కోలు ప్రసంగం",negative
ఈ యుగం ఒక గేదె మరియు ప్రపంచం గట్టర్ --- మనమందరం గట్టర్ బగ్స్ ---- మేము ప్రతిరోజూ అబద్ధాలు చెబుతాము ---- ప్రతి రోజు పాపాలు ---,negative
గాంధీని మహాత్మ మరియు బాపు అని పిలవడం దేశానికి అవమానం కాదా ??? +++++++++ గాంధీకి ఒకసారి వాల్మికి తెలుసు,negative
"క్రికెట్ అనవసరమైన మతంగా మారలేదు. వాటిని గుర్తించడానికి మతం యొక్క పెద్ద పని ఉంది మరియు ఈ కారణంగా, ఈ రోజుల్లో కొందరు ఈ మతాన్ని తప్పుగా సద్వినియోగం చేసుకోవడంలో నిమగ్నమై ఉన్నారు",negative
"మోడీ జీ యొక్క మంత్రం, అందరితో మరియు వెయ్యి కోట్ల రూపాయలు ఉన్న ప్రతి ఒక్కరూ, ఇప్పుడు మెరుగుపరచండి, అబ్దుల్లా, మీరు పాకిస్తాన్‌లో సమావేశం మరియు పాకిస్తాన్‌లో సమావేశం గురించి మాట్లాడతారు",negative
"అవును, అప్పుడు ముషార్ఫ్ మరియు నవాజ్ షరీఫ్ గూండాలు ఉండవు, అప్పుడు వారు భక్తిగిరి నుండి బయలుదేరుతారు.",negative
ప్రతిరోజూ సూర్యుడు నేను ఈ రోజు నాకు నమ్మకద్రోహం అని చెప్పాడు - ఒక రోజు గడిచింది - విశాల్ త్రిపాఠి,negative
మాజీ ఎన్‌సిపి నాయకుడు మరియు మంత్రి విజయ్ కుమార్ గవిట్‌కు అవినీతి ఆరోపణలు ఎదుర్కొన్నారు మరియు గవిట్ నకిలీ ప్రజలకు పేరు పెట్టారని చెప్పారు,negative
కొంతమంది పెరుగుతున్న నేపథ్యంలో మరణించారు మరియు పెరిగిన వారు ముఖ్యమైనది,negative
"ఉగ్రవాదంతో పోరాడుతున్నప్పుడు, కూర్చుని నిద్రపోతున్నప్పుడు, ఉగ్రవాదులు వచ్చి వారి ఇంట్లో పాలన ప్రారంభించారు.",negative
"యాసిన్ గిలానీ మరియు బృందాలు అతని వర్గం కాశ్మీరీలను ఎందుకు సేవ్ చేయలేదు, వారు నిరంకుశ భారతీయ సైన్యం సహాయం పొందాలి.",negative
మిత్రా దునియా యొక్క అతిపెద్ద ప్రజాస్వామ్య దేశం భారతదేశంలో రాజ్యాంగ గార్డు చేత ప్రాణాంతకం మరియు ఆందోళన చెందుతోంది,negative
కొంతమంది తమ నిజ జీవిత సమస్యలను చెప్పడానికి ఫేస్‌బుక్ మరియు ట్విట్టర్‌లను ఉపయోగిస్తారు.,negative
"మా ప్రేమ ఏమైనప్పటికీ, వారు వేరొకరిని ప్రేమిస్తారు, కోల్పోయారు, వారు ఇష్టపడే వారు మా స్నేహితుడు అని మేము ఈ సమాచారాన్ని చేసాము…",negative
ఆసాఫోటిడా చమురుతో లేదా చమురుతో కత్తులతో ఉండదు - #ఐసిస్ రసానిక్ మరియు సేంద్రీయ వాయువు మరియు స్నిఫ్‌తో పూర్తవుతుంది,negative
"ఇస్లాంలో శాంతి మరియు సోదరభావం ఉంది, కాబట్టి ముస్లింల నుండి శాంతిని ఆశించడం అవివేకం.",negative
మీరు విప్పుకోకపోతే గేట్ మరియు కోట్ యొక్క గాయాన్ని నివారించడం కష్టం కాదు.,negative
"<< చల్ పార్ట్ పుస్సీ నా దేశం, ఏ మిషనరీ మరియు వహాబీకి చోటు లేదు.",negative
"ప్రేమలో నష్టం జరుగుతుందనే సందేహం ఉంది, కానీ అది మాత్రమే తెలియదు మరియు నాది మాత్రమే - విశాల్ త్రిపాఠి",negative
~ చప్పాడ్గాన్జు గురు మరియు టిఎల్ పార్ హర్ హర్లను గౌరవించటానికి సలహా ఇస్తున్నారు,negative
సల్మాన్ ఖాన్ బిగ్ బాస్ 8 లో విమానాలను నడుపుతారు. ఈ వార్త ఫుట్‌పాత్‌లలో వాతావరణం యొక్క వాతావరణాన్ని కలిగి ఉంది మరియు టరెట్ ఖలీఫా భయం యొక్క నీడలో ఉంది.,negative
నేను ఎక్కడ తీసివేసాను మరియు నా మరణం అయ్యింది,negative
"ఈ రోజు, సత్యం మరియు నిజాయితీ సమయం",negative
"ఈ రాత్రి ఒక వింత యుద్ధం ఉన్న ఒక వింత యుద్ధం ఉంది, కళ్ళు బంగారం చెబుతున్నాయి మరియు గుండె ఏడుపు చెబుతుంది",negative
ఇప్పుడు అది #Whymediaissoantihindu 5-m (మార్క్స్ ముల్లా మిషనరీ మాకాలే మరియు మార్కెట్) కు విక్రయించినందున కనుగొనబడింది,negative
అబద్ధాలు మరియు మోసం,negative
కొన్నిసార్లు అనుష్క ఓటమికి కారణం మరియు కొన్నిసార్లు పంచుకుంటారు మరియు మార్దానీని తయారు చేస్తారు,negative
కాబట్టి నేను ఈ మసాలా చిత్రాలకు వ్యతిరేకంగా ఉన్నాను మరియు ధోని అలాంటి చిత్రాలను చూపిస్తాను. హెరోగిరిలో వచ్చారు,negative
మధ్య కులాల యొక్క కొత్త భూస్వాముల యొక్క దళిత-దేవుడు మరియు ఫాసిస్ట్ ధోరణి సమాజం పేరిట బయటకు వస్తోంది,negative
అరవింద్ కేజ్రీవాల్ వంటి జీవి నిన్నటి రాజకీయాల్లో ఎప్పుడూ లేదు మరియు రేపు రాజకీయాల్లో ఉండదు.,negative
"భారత పార్లమెంటు బుధవారం మళ్లీ ఇబ్బంది పడ్డారు. రాజ్యసభ విచారణ సందర్భంగా, బిఎస్పి మరియు ఎస్పీ సభ్యులు ఘర్షణ పడ్డారు.",negative
"కాశ్మీర్ పేరిట జిహాద్ చేసే వారు, ఇప్పుడు మీరు ప్రజలు కాశ్మీర్‌కు వచ్చి మీ సోదరులకు ఈ చెడ్డ సమయంలో సహాయం చేస్తారు, మీరు ఇప్పుడు ఈ చెడ్డ సమయంలో నలిగిపోయారా?",negative
"అతని జ్ఞాపకార్థం మేము టబ్ కన్నీళ్లు పెట్టుకున్నాము. అతని జ్ఞాపకార్థం, మేము అరిచాము మరియు టబ్ నింపాము. మరియు అతను అతనిలో స్నానం చేశాడు. #నాది కాదు",negative
"#Dhoni Ji #modi Ji యొక్క ఆలోచనలను అనుసరిస్తున్నట్లు అనిపిస్తుంది, నేను తీసుకోను లేదా నన్ను తీసుకోనివ్వను. #Indvseng",negative
"అంతకుముందు మీ మాటలలో, ధైర్యం ఆశ మరియు విధేయత యొక్క భావం, ఇప్పుడు ఆందోళన భయం మరియు బాధలను మేల్కొల్పింది, అనగా మీరు వెళ్ళారు",negative
"నేను కోర్టులో కేసును కోల్పోతాను, న్యాయమూర్తి మరియు నాసిబ్ నా న్యాయవాది ఎక్కడ ఉన్నారో నాకు ఖచ్చితంగా తెలుసు…",negative
#Whymediaissoantihindu India యొక్క మీడియా యాంటీ -అస్పష్టమైన మరియు వ్యతిరేక హిందూ. గూగుల్‌కు ఇప్పుడు ఈ విషయం ఇప్పుడు తెలుసు,negative
కొంతమంది తమ తక్కువ మరియు ఇతరుల ఇతర వస్తువులను ఇష్టపడతారు మరియు వారు అవకాశం ఉన్న వెంటనే వారు కూడా తమ సొంతం చేసుకుంటారు.#దీనిని దురాశ అంటారు.,negative
"వారు తీసుకున్న తర్వాత వారు తిరిగి వచ్చినా, వారు పనిని వదిలివేస్తారు మరియు చేతుల్లోకి వచ్చిన ఫస్టేజ్, వారు కూడా ఆఫీసు సమస్యను ఇంటికి తీసుకువస్తారు.",negative
"అన్నింటికంటే, బావి ప్రణాళికాబద్ధమైన కుట్రలో, అజామ్ ఖాన్ మరియు జావేద్ ఉస్మాని వంటి ధోర్ హిందూ ప్రత్యర్థులు హిందువులకు చెందిన మహాకుధ ఛార్జీలో తయారు చేయబడ్డారు.",negative
"ధోని అదే లాండే, ఏదైనా పోరాటం ఉంటే, నేను చెప్తున్నాను, నేను ఉన్నాను, ఆపై నేను అందరినీ ఓడించాను. లోల్జ్",negative
"వారి కథ అద్భుతమైనది, లౌకిక ప్రజలు మతతత్వ మాట్లాడతారు మరియు హార్డ్కోర్ నాకు లౌకికతను చెప్పండి, వారు రెండు వైపుల నుండి దుర్వినియోగం చేయాలి.",negative
"కేజ్రీవాల్ లాండా, అతను కెబిసికి వెళ్లి మొదటి ప్రశ్నకు మొదటి సమాధానం ఇస్తాడు మరియు బిగ్బ్‌కు వ్యతిరేకంగా ధర్నాపై కూర్చుంటాడు, అతను కుర్చీ దిగమని కోరినప్పుడు.",negative
ముహమ్మద్ జలలుదిన్ అక్బర్ కరామైనా బజార్లో మరియు అతని అంత rem పురంలో ఉన్న అమ్మాయిలను కిడ్నాప్ చేసేవాడు.,negative
.,negative
రూట్ ఇంటెలిజెంట్ క్రూక్స్ డాకోయిట్స్ మరియు దేశం దోచుకుంటుంది. విద్యావంతులైన దురాక్రమణదారులు IAS అధికారిని IAS అధికారిగా చేస్తారు.,negative
ఐసిస్ చంపబడుతోంది ఇన్నోసెంట్స్ జమ్మూ మరియు కాశ్మీర్‌లో అమాయకులను ఆదా చేస్తోంది మరియు చాలా మంది భారతీయ ముస్లింలు ఐసిస్ #కాష్మీర్‌ఫ్లడ్స్‌కు మద్దతు ఇస్తున్నారు,negative
సులభమైన విషయం ఏమిటంటే లోపాన్ని కనుగొనడం మరియు చాలా కష్టమైన పనిని చేయడం వల్ల ప్రజలు సులభమైన పనులు చేస్తారు,negative
"చారిత్రక ఇస్లాం చరిత్ర యొక్క కోల్పోయిన పేజీ, భారతదేశం చాలా అణచివేత మరియు సంపదను భరించిన దేశం అని మీకు తెలుసా -",negative
"హిందూ పేరు పేరు ప్రతిచోటా ఉన్నప్పుడు, హిందువులు మాత్రమే కాదు, హిందువులు మాత్రమే కాదు, బలమైన హిందూగా మారరు",negative
