review,sentiment
"Omg😳 c'est le serpent islamique qui étudie dans les madrasas, si les madrasas ne sont pas fermées, alors cela vous arrivera en Inde",negative
"Les frères de la tragédie du dévot de Sai, j'ai renoncé à adorer Sai (Chand Mian), pourquoi lire cet article: Sai aka (Chand Mian",negative
"Aucun du sommeil ne se passe, il semble qu'il y ait quelque chose qui manque dans les expressions aujourd'hui",negative
"S'il y a une légère honte entre Kejriwal et ses agents, alors au lieu de compromettre à l'extérieur du tribunal, il devrait présenter les éléments de preuve contre Gadkari au tribunal.",negative
"Rien n'a changé, après son départ, dans cette vie, ses amis, juste l'endroit où le cœur était là, ça y fait mal aujourd'hui.",negative
J&K: 7 tués dans des glissements de terrain 20 disparus: de fortes pluies dans un village de montagne éloigné dans le district d'Udhampur de Jammu et du Cachemire,negative
"Dans la préparation de sa première suspension, exécution",negative
"Tata, qui nourrit le sel du pays, ne sait rien, pendant le reste de la catastrophe, le tambour du patriotisme sera rempli par le Dhol Pitt.",negative
Les médias de l'Inde sont des traîtres vendus corrompus et anti-hindu. Google sait maintenant cette chose maintenant,negative
#Modiministry J&K: 7 tué dans le glissement de terrain 20 manquant,negative
#Modimiministry en préparation de sa première suspension,negative
"Si Sreesanth a laissé sa serviette, alors il devrait mettre la bouche de Ravi Shastri.",negative
#Meherbaan devrait être gentil avec nous en faisant de telles chansons ennuyeuses. Merci #bangbang,negative
Vous êtes un maître que Guru Ghantal = D,negative
J&K: 7 tués dans des glissements de terrain 20 disparus: de fortes pluies dans un village de montagne éloigné dans le district d'Udhampur de Jammu et du Cachemire,negative
J&K: 7 tués dans des glissements de terrain 20 disparus: de fortes pluies dans un village de montagne éloigné dans le district d'Udhampur de Jammu et du Cachemire,negative
"Des problèmes se sont produits, si quelqu'un écoute le silence, nous disons aussi quelque chose",negative
"Nous devons aller à LOC et retirer notre pénis et le faire sur le Pakistan, sinon la journée n'est pas loin lorsque ces Pakistanont écrivent du chodu sur notre front",negative
"Même si vous sortez à la recherche de vous, quel est l'avantage? Si vous étiez perdu, c'était plus.",negative
"Ce n'est pas de l'eau de pluie, ce sont les larmes des yeux des Pandits Cachemire",negative
"Le Thukmaster et Urin spécialiste de Delhi, Pornnath",negative
"Ils viennent juste bombarder la bombe. Ne pourra pas mettre fin à cela. Au contraire, Nirih mourra et rejoindra Isis. Besoin de combats au sol.",negative
Le public de Madheshi a une atmosphère de déception en raison de l'inaction des partis de Madheshi et de l'apathie des dirigeants de Madheshi. A eu des élections,negative
L'esprit veut battre chaque pakistan avec des poteaux mais n'obtient pas un tel bâton,negative
"Falsafa of Women: Je ne parle pas mais cela peut signifier oui et je peux aussi appeler ce que vous voulez dire, je l'appellerai mal.",negative
"Si nous appelons les habitants de l'or, alors nous appellerons les habitants du sol, alors des pantoufles seront trouvées pour la protestation, mais si Narendra Bhai dira Platinam, alors Messie #truth",negative
"Aujourd'hui, il remettait le travail de New Construction à partir de ses propres fissures, qui n'est pas libre",negative
"Des centaines de fois la beauté augmente juste en souriant, même les gens ne se débarrassent pas.",negative
Un moment poignant est reparti dans la vie. Nous avons perdu un frère Anoop Wakade. Récemment CL,negative
"Quand il y avait de l'amour, il y avait un effet de bon travail. Il n'y avait aucune nouvelle que les crimes sont également punis.",negative
Des sources irakiennes et américaines ont signalé que la mort des frappes aériennes d'Amarika dans le nord de l'Irak?,negative
"Armaan devait passer la vie avec vous, l'engouement pour être silencieux est plus que cela et ce qui vous attendra à venir aujourd'hui.",negative
"Je viens de venir maintenant assis, maintenant j'ai pris le relais.",negative
Les habitants de Mainpuri sont-ils le plus gros idiot de la terre?,negative
"Trois Nakkara est devenu ministre là-bas, Nagnath Darkness Kangibhyarprasad",negative
"Mon cœur ne brûle pas, oui-hayat quand tu souris et que tu parles à quelqu'un d'autre",negative
Le Maharashtra est entré en collision avec le centre de la crise de puissance: il y a une bataille féroce entre le Maharashtra et le gouvernement central sur l'électricité. énergie,negative
"Tous ces éléments sont affectés par la chance, les laissez-passer BA sont au chômage et BA est un ministre raté.",negative
"Hahaa Lovlyy """" Le vainqueur de la défaite s'appelle Baazigar et le match gagnant s'appelle Dhoni """,negative
"Tous ces éléments sont affectés par la chance, les laissez-passer BA sont au chômage et BA est un ministre raté.",negative
"Vous viendrez, encore plus de désespoir vient de venir à vos hoquets.",negative
"Alors, quand deviendrez-vous le vôtre? Nous pensons que jusqu'à ce que le changement de ce pouvoir de course se poursuive.",negative
"Les musulmans rejoignent également des organisations terroristes comme l'Etat islamique avec une grande fierté et ici, les gens ont également honte de rejoindre le RSS.",negative
Il y a plus de chagrins sauf l'amour dans le monde,negative
"À Delhi, le gouvernement deviendra la chance du BJP, le Congrès et l'AAP s'ouvriront. Les deux parties sont assises dans l'espoir du flop du BJP.",negative
"Jusqu'à hier, Dhoni n'a pas pu rivaliser avec Captain Cool et le capitaine Stigma sur les chaînes d'information. -Discours d'adieu de Kejriwal",negative
Cette époque est un buffle et le monde est de la gouttière --- nous sommes tous des insectes de gouttière ---- nous mentons tous les jours ---- tous les jours des péchés ---,negative
N'est-ce pas une insulte à la nation d'appeler Gandhi comme Mahatma et Bapu ??? +++++++++++ Gandhi Savoir une fois Valmiki,negative
"Le cricket n'est pas devenu une religion inutile. Il y a une grande tâche de religion pour les reconnaître et pour cette raison, de nos jours, certains sont engagés à profiter de cette religion.",negative
"Le mantra de Modi Ji, tout le monde avec tout le monde et avec mille crores de roupies, maintenant améliore, Abdullah, vous parlez de vous rencontrer au Pakistan et de vous rencontrer au Pakistan",negative
"Oui, alors il n'y aura pas les hommes de main de Musharf et Nawaz Sharif, alors ils quitteront Bhaktigiri.",negative
"Chaque jour, le soleil dit que j'étais infidèle à moi aujourd'hui - un jour s'est passé - Vishal Tripathi",negative
"L'ancien chef et ministre du NCP, Vijay Kumar Gavit, a été accusé de corruption et a déclaré que Gavit avait nommé de fausses personnes",negative
Certaines personnes sont mortes face à grandir et celles qui ont grandi sont mortes en importance,negative
"Tout en parlant de lutter contre le terrorisme, en s'asseyant et en dormant, les terroristes sont venus et ont commencé à gouverner dans leur maison.",negative
"Pourquoi Yasin Gilani et les groupes ne sauvent pas sa catégorie Cachemiris, ils doivent demander l'aide de l'armée indienne tyrannique.",negative
Le plus grand pays démocratique de Mitra Duniya est fatal et inquiétant de la garde de la constitution en Inde # fraudembysecretballot,negative
Certaines personnes utilisent Facebook et Twitter pour raconter leurs problèmes réels.,negative
"Quoi que ce soit notre amour, ils aiment quelqu'un d'autre, juste perdu, nous avons fait ces informations qu'ils aiment est notre ami…",negative
Asafoetida ne sera pas avec du pétrole ni des épées avec du pétrole - #isis sera fini avec du rasanic et du gaz biologique et du reniflement,negative
"Il y a la paix et la confrérie dans l'islam, il est donc stupide de s'attendre à la paix des musulmans.",negative
Il n'est pas difficile d'éviter la blessure de la porte et de citer si vous ne vous dépliez pas.,negative
"<< La partie de la partie chal est mon pays, il n'y a pas de place pour aucun missionnaire et wahhabi.",negative
"Il ne faisait aucun doute qu'il y aurait une perte d'amour, mais ce n'était pas connu et seulement le mien - Vishal Tripathi",negative
~ Chappadganju donne des conseils au respect du gourou et du par har har har har har,negative
Salman Khan dirigera les avions dans Big Boss 8. Cette nouvelle a une atmosphère d'atmosphère parmi les sentiers et la tourelle est à l'ombre de la peur du Khalifa.,negative
Où ai-je enlevé et ma mort est devenue,negative
"Aujourd'hui, le temps de la vérité et de l'honnêteté dans le temps",negative
"Il y a une étrange guerre qui a une étrange guerre dans cette nuit, les yeux disent que l'or et le cœur dit pleurer",negative
"Maintenant, il est découvert #WhyMediuissoantiHindu parce qu'il est vendu à 5 m (Marx Mulla Missionary Macaulay and Market)",negative
Mensonges et tricherie,negative
"Parfois, Anushka est la raison de la défaite et parfois partagée et fait de Mardani",negative
Je suis donc contre ces films Masala et montre à Dhoni de tels films. Got In Herogiri,negative
La tendance dalit et la tendance fasciste des nouveaux féodales des castes du milieu sort au nom de la société,negative
Une créature comme Arvind Kejriwal n'a jamais été dans la politique d'hier et ne sera pas dans la politique de demain.,negative
"Le Parlement indien a de nouveau été embarrassé mercredi. Lors de la procédure de Rajya Sabha, les membres du BSP et du SP se sont affrontés.",negative
"Ceux qui font du djihad au nom du Cachemire, maintenant vous, les gens, venez au Cachemire et aidez vos frères en ce mauvais temps, avez-vous été déchiré en ce mauvais moment maintenant",negative
"Dans sa mémoire, nous avons pleuré et rempli la baignoire. En sa mémoire, nous avons pleuré et rempli la baignoire. Et il a pris un bain en lui. #pas le mien",negative
"Il semble que #dhoni ji suive les pensées de #modi ji, je ne prends pas ni ne me laisse prendre. #Indvseng",negative
"Plus tôt dans vos mots, le courage était un sentiment d'espoir et de loyauté, maintenant l'anxiété a éveillé la peur et l'affliction, c'est-à-dire que vous êtes parti",negative
"Je perdrai l'affaire devant le tribunal, je suis sûr que le juge et Naseeb étaient mon avocat…",negative
#Whymedialissoantihindu Les médias de l'Inde sont un anti-corrupt et anti-hindu. Google sait maintenant cette chose maintenant,negative
Certaines personnes aiment leurs autres et autres éléments d'autres et ils en font également les leurs dès qu'ils sont dans le hasard. # C'est ce qu'on appelle la cupidité.,negative
"Quoi qu'ils reviennent après avoir pris, ils quittent le travail et la frottage, qui viennent à la main, ils ramènent également le problème du bureau.",negative
"Après tout, sous un complot bien planifié, des adversaires hindous comme Azam Khan et Javed Usmani ont été faits en charge du Mahakumbh des hindous.",negative
"Dhoni est le même launde que s'il y a un combat, alors je dis, je le suis et puis j'ai battu tout le monde. Lolz",negative
"Leur histoire est incroyable, les gens laïques parlent communal et que hardcore me raconte laïque, ils doivent abuser des deux côtés.",negative
Kejriwal est la launda qui ira à KBC et donnera la première réponse à la première question et s'asseyera sur un Dharna contre Bigb quand il lui a demandé de descendre de la chaise.,negative
Muhammad Jalaludin Akbar avait l'habitude d'enlever les filles de Karameena Bazaar et dans son harem.,negative
) Aurangzeb a publié un décret pour éliminer une peau vivante en faisant bouillir à Garampani pour ne pas accepter l'islam.,negative
Les escrocs intelligents sont des dacoits et le pays vole. Les mécréants éduqués font un officier de l'IAS en tant qu'officier de l'IAS.,negative
Isis tue des innocents sauve innocents au Jammu-et-Cachemire et de nombreux musulmans indiens soutiennent l'Etat islamique #Kashmirflood,negative
La chose la plus simple est de trouver le défaut et de faire la tâche la plus difficile pour que les gens effectuent des tâches faciles,negative
"L'islam historique est la page perdue de l'histoire, savez-vous que l'Inde est un pays qui a enduré le plus d'oppression et de richesse -",negative
"Lorsque le nom du nom hindou est partout, il n'y aura ni le jihad d'amour ni aucune conversion, pas seulement les hindous mais deviendront un hindou fermé",negative
Breaking News Menace of Terrorist Organization in Ranchi- 'quitte le village dans 30 jours ou tue les filles et devient musulmane,negative
"Vous êtes la seule partie à avoir appelé tout le monde corrompu et les médias à vendre et à plusieurs reprises. Maintenant, qu'est-ce qui a été modifié dans la stratégie?",negative
"Si vous continuez à venir en matière de paix et d'amitié, ils se blesseront toujours. Le Pakistan ne peut pas être sûr.",negative
Il a été fait pour faire confiance à Rayudu et nous donnons également la rue à Dhoni,negative
"Si vous connaissez la différence entre les fans de bravoure et la fanfare, alors Mahendra Singh Dhoni n'est pas du tout.",negative
"Lost India 1 Ball, dites-moi comment marquer 5 points et cela aussi dans une situation où la robe de l'arbitre était également comme l'équipe d'Angleterre.",negative
Voyons que quelqu'un mourra maintenant; il m'a juré et je l'ai juré.,negative
"Que les filles brûlent les filles et meurent, si la périphérie meure, alors nous avons une fille, nous ne voulons pas aller à la maison, je ne veux pas sortir",negative
Le Pakistan a lancé 156 bombes sur ce temple de Shri Krishna ce jour-là et quatre site de pèlerinage important de l'Inde occidentale et quatre,negative
"Dhoni n'est pas allé à l'encontre de la dignité du cricket et n'a même pas donné de grève à Rayudu, et c'est juste en train de devenir un héros lui-même.",negative
"Frère, qui devrait expliquer au peuple, vous avez compris Akhilesh en tant qu'Akal Ash, avec l'arrivée de Kher Rahul, les élections ont été touchées par le Congrès Amethi et Rae Bareli",negative
"Dans le stylo du journalisme de notre pays, au lieu de l'encre. L'argent est de l'alcool et c'est-à-dire. Maintenant dis, ces hymnes chanteront-ils",negative
"Nos rêves savaient-ils où vous avez perdu quelqu'un d'autre, nous devrions le faire vous-même _ / + _ :)",negative
Parlez une telle voix dans laquelle tout le monde perd son sang-froid et revient pour boire du sang et tous sont en bonne santé -baba zahildas,negative
Nous ne pouvons pas oublier de montrer la publicité de notre canal déodorant et sous-vêtements en faisant de force les pauses commerciales même parmi les histoires de la douleur de Doll ',negative
"Il s'agit du grand voyou contre l'AAP et la démocratie dirigée par le BJP, notamment le président du président du Congrès des médias Ambani # FraudBySecretballot",negative
Nouvelles; L'Angleterre a battu l'Inde 3 points et le chutiape de Dhoni.,negative
"Aujourd'hui, Dhoni mange beaucoup dans le pavillon et ses cheveux peuvent également se gratter les cheveux.",negative
"Si un joueur de cricket indien avait fait la même divulgation, les médias et le laïc auraient été faux.",negative
"Shiva Bhagato, qui a applaudi le Pakistan et les traîtres qui ont lapidé l'armée indienne, les musulmans du Cachemire",negative
"Le Veda Vedic dont l'image a été un journaliste et un intellectuel, a été gravement brumeux et a révélé qu'il n'était rien.",negative
", Très beau msg lu deux fois, deux choses dans la vie sont toujours pour la rupture: en respirant et en respirant",negative
"Il a également perdu le match et n'a pas parlé à la petite amie en perdant du temps dans le match, puis elle aussi s'est mise en colère. Maintenant, il s'appelle Double Bhasad. ,",negative
Kejriwal est la launda qui ira à KBC et donnera la première réponse à la première question et s'asseoira sur un Dharna contre Bigb quand il lui a demandé de quitter la chaise # HDL,negative
Et ce capitaine indien Mahendra Singh Dhoni lui-même s'est éloigné du match pour devenir un héros. #Indvseng,negative
"BJP et AAS.S.S. Le journaliste principal de l'idéologie a déclaré qu'il crachait le Parlement de l'Inde, est-ce le vrai personnage",negative
"Ce qui a été gâté, notre Kohli Rayudu ou Jadeja ont tué les chiens et perdu le match et perdu le match.",negative
Dhoni a-t-il pris Rayudu seulement pour terminer l'équipe. Paddi a obtenu les pauvres et n'a pas battu. # IndvSeng,negative
": Ce n'est pas le tour d'Anushka vers «Sakshi», pas aujourd'hui. Sortez et sortez votre colère.",negative
"Frère, voudriez-vous dire quand les insectes ont été laïques et communautaires ?? Je sentais que cette maladie se limite aux espèces humaines uniquement",negative
"Il y a une course étrange, si vous gagnez cette vie, beaucoup sont laissées derrière vous et perdent, ils laissent derrière vous.",negative
Mais condamner inutilement le vulgarisme chinois au Japon et ces attentes de ceux qui émettent un décret contre la liberté tibétaine en Inde,negative
Ceci est une malhonnêteté de Dhoni. Alignant Rayudu et n'a pas battu. @ Coolfunnytshirt,negative
"Bonjour, personne n'est fasciné par qui que ce soit, la tête de tout le monde n'est pas couronnée.",negative
"L'accusé de l'incident de Nithari, Surendra Kohli, est interdit de suspendre",negative
"Même une fois, pourquoi la racine de la terreur n'est pas discutée dans les médias indiens sur le Coran, alors qu'il y a toujours une conduite médiatique sur les textes religieux hindous, etc.",negative
Le trafic sur NH 82 a calé en raison d'un pont cassé de Sheikhpura avec Biharsharif,negative
"Maintenant, cette chaussure est maintenant devenue une arme et a plu sur Kejru et ses affaires",negative
Mohan Bhagwat a exprimé sa préoccupation face à une éducation coûteuse,negative
"Après tout, pourquoi les gens ont peur ici? Après tout, pourquoi les escrocs sont-ils dans les rues sans crainte?",negative
"Le député Maihar du district de Satna, dans le Madhya Pradesh, a également attaqué le Sarpanch et le personnel des médias en cas d'extraction illégale de Jura Panchayat en janvier.",negative
"Sur un tel électeur qui a voté pour le Congrès, le fabricant de constitution a adopté la justice pour l'acteur et le leader et une loi pour le public.",negative
"Le pays appartient à tous et tout le monde a donné le droit de rester dans n'importe quelle partie du pays, la politique de la famille Thackeray montre une petite mentalité.",negative
"Le gouvernement de Shila à Delhi a plu à des gaz et des poteaux brutalement à la fin du public, il n'était pas la source d'inspiration pour 14 faux votes lakh?",negative
"Lorsque le grand public a tué, le Naxalite erre et lorsque le Congrès est mort, ce qui s'est passé est très mauvais.",negative
"#KashMirfloodds médite une fois, mais plus tard, on se souvient des pandits.",negative
Il n'y a qu'une seule façon de mâcher le nez en Chine et d'être envoyée à la frontière en donnant un bâton à Delhi;),negative
"Où ces corrupts sont-ils morts en violant Damini et une petite fille, lorsque la police a fait une douche de poteaux sur les innocents, donc certains dirigeants sont morts.",negative
DMK a donné un demi-divorce le gouvernement.,negative
Shinde a accusé le Sangh et le BJP des activités terroristes opérationnelles indirectement de vrais terroristes et Hosla Afzai du Pakistan,negative
"La maison de Pawan Bansal a été sacrifiée aujourd'hui. Ces chèvres continueront d'être coupées, mais combien de temps son Amma célèbrera-t-elle?",negative
"Si la loi et l'ordre de la loi et l'ordre doivent être améliorés, alors tout d'abord, il devra être interdit de vendre des bougies, cette culture de bougie devient un lâche pour la société.",negative
La douleur la plus chaleureuse à la mort de l'ancien Sarsanghchalak Bhaiya Ji Sudarshan devrait donner la paix à son âme.,negative
"Le Maharashtra est en mauvais état en ce qui concerne l'eau et les dirigeants saupoudaient du sel sur les blessures du public wow, le leader",negative
"Je ne sais pas pourquoi ces Khungrasy me bloquent, tout le monde ne peut pas commenter le mur de tout le monde, le frère ne s'enfuie pas de la vérité",negative
L'hymne de Vande Mataram est une tradition dans le Lok Sabha. Rien de commun dans cette chanson mais de force n'a été appelé anti-musulman.,negative
Le premier jour de jeûne sur la belle ville d'Arvind Kejriwal brûle le cœur de Delhi et prenez la facture d'électricité,negative
Dommages à la démocratie dans Pak #hribhoomi #pakistan #imrankhan,negative
Ancre comme Bk Hui Sardna et une divak qui aiment Damru sans vergogne,negative
"Presque tous les médias ont pris un silence sur le Lokpal et Anna Fast, soit le mouvement s'est arrêté, soit quelqu'un est vendu?",negative
"Le fils de la mère qui écrit à la frontière, lavez Delhi avec sa propre encre avec compréhension de l'encre",negative
"1 agriculteur est en grève de la faim depuis 2 mois pour libérer de l'eau dans le barrage pour l'irrigation dans son domaine sec, mais les dirigeants se moquent également de la sécheresse.",negative
La journée n'est pas loin lorsque le Premier ministre hissera le drapeau de l'Inde avec le drapeau de l'Inde au fort rouge dans la cupidité de la banque de vote.,negative
"Ministre à main et textile d'Andhra Pradesh, Shankar Rao a giflé son Pa Venkatesh sur la plate-forme publique. Le téléphone était en colère de reprendre tard.",negative
Qui est la pierre Maru qui est extraterre,negative
"Il parle beaucoup, mais ne vient jamais trop écouter, même s'il est incapable de faire #merazahan 😒😩",negative
"Quand quelqu'un vient à votre porte pour demander ceci, alors l'opinion qui va demander, il est venu vous avertir",negative
"Sur les ordres de SC, l'annulation des 122 licences des sociétés de télécommunications signifie que U.P. Je tuerai environ 125 porteurs de crore mobiles",negative
"Santa: Darling pleut aujourd'hui, le temps est très beau.",negative
Il a dépensé un milliard de vingt-six millions de déchets pour transmettre le message des enfants en déchets,negative
"Sept jours de destruction au Cachemire: trois ministres manquant de maisons dans les inondations, des personnes assises sur les toits - Dainik Bhaskar",negative
"Personne n'aura beaucoup de différence quand je mourrai, mon ami pleurera juste que mon voyage a disparu",negative
"Les médias et la police sont tellement inquiets de 5 jours concernant la fixation du match de 1,20 crore, telles que le train sportif de charbon 2G, toutes les escroqueries ouvriront à partir de cela.",negative
DGP a mis un rideau sur la défaillance du système d'intelligence,negative
Case de meurtre de Jyoti: doigt sur le discrétionnaire principal,negative
SP a éclaté sur la déclaration de Shah,negative
"À la mort de Sarabjit, le secret du silence organisé des autres droits humains vocaux et actifs du pays est caché à quelqu'un?",negative
Possession non autorisée de véhicules sur les pistes: Aburod. Véhicules sur la route de la route sur la route de la gare de bus stand-railway,negative
"Il y a des atrocités impitoyables sur les hindous au Pakistan, il n'y a personne pour écouter leur cri.",negative
"Sept jours de destruction au Cachemire: trois ministres manquant de maisons dans les inondations, des personnes assises sur les toits - Dainik Bhaskar",negative
"Une pornographie sort sur une tl déserte les nuits sombres, elle s'appelle Hawashmi",negative
Rahul Gandhi a un mot pour parler de Modi mais n'est même pas venu pour dire un mot pour cette fille courageuse. Étape,negative
"Les prix de l'essence ont baissé de 3 ₹ à partir d'aujourd'hui minuit. Au nom de l'inflation, il est maintenant mort en fermant l'Inde et maintenant mort ??",negative
Beaucoup d'abus sur Sachin Ji devient un membre du Congrès,negative
"Dès que Digvijay Singh a poussé la voix pour offrir des fleurs sur la statue de Gandhi, la voix est partie, son fils ou bien le travail de la non-violence sera rompu",negative
"Le Monsieur le ministre, le Bihar, vous êtes allé à l'ancienne, comme le vol et le vol. Si vous ne faites pas attention, vous êtes également allé.",negative
#News Suivez la crise de la puissance et dans le Maharashtra,negative
Ce sont nos vers nationaux à chug.,negative
"Plus le haut est décent, plus l'ISAN est réduit de l'intérieur.",negative
De grandes choses ne conviennent pas aux petites bouches.,negative
AVERTISSEMENT: ne nous détruisez pas les particules de Dieu via,negative
Plus de femmes suspicion: Mari: Je serai 1000 ans avec vous et vous aimerai. Femme: Où est l'intention de tuer après cela?,negative
"Il a dit, me lève dans mon amour, j'ai dit, je n'ai pas le temps, je m'échappe. ;);) - Se sentir fou",negative
"Viens, tu te donnerez aussi",negative
"Mulayam Singh sait que le BJP fait une grande décoration en UP, qui arrêtera ce Sajis? Mayawati?",negative
Le pauvre Kajri connaissait déjà les oreilles de Modi. C'est pourquoi j'enroule mes oreilles dans un silencieux.,negative
"Vous vous blessez de nouvelles blessures, qu'est-ce qui va vous remplir de ceci, combien de vieux #seemab #shair #zakhm",negative
"Dans cette école de l'Uttarakhand, porter des casques en classe pour les enfants est obligatoire car le bâtiment du collège est si minable",negative
"Vous vous battez avec eux, même si vous ne restez pas et le donnez à Allah (Coran 2: 193) est la religion.",negative
Innocent Asaram Bapu Ji a été piégé par une mauvaise utilisation de Pocso. Pourquoi la police de Jodhpur a laissé # 365daysofpocsomisuse haappen?,negative
"Imanwalas (musulmans) ne devrait pas faire de ceux qui refusent leurs amis (Coran 3: 24) La religion est le seul moyen de se détester, méfiez-vous de l'islam",negative
Il devrait être supposé sur quelle saison de Sreesanth et de Gurunath Meiyappan Bigg Boss participera,negative
"Lorsque chaque mois s'est écoulé, alors où que vous obteniez les Mushrikas (Coran 9: 5), il y a la religion, il est prudent de se détester, méfiez-vous de l'islam",negative
